route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
507,1,1288551,Gold Line To Sacramento Valley Station,0,22.0,53872
507,1,1288552,Gold Line To Sacramento Valley Station,0,24.0,53872
507,1,1288553,Gold Line To Sacramento Valley Station,0,26.0,53872
507,1,1288554,Gold Line To Sacramento Valley Station,0,21.0,53871
507,1,1288555,Gold Line To Sacramento Valley Station,0,23.0,53871
507,1,1288556,Gold Line To Sacramento Valley Station,0,25.0,53871
507,1,1288557,Gold Line To Sacramento Valley Station,0,27.0,53871
507,1,1288558,Gold Line To Sacramento Valley Station,0,28.0,53871
507,1,1288559,Gold Line To Sacramento Valley Station,0,29.0,53872
507,1,1288560,Gold Line To Sacramento Valley Station,0,22.0,53871
507,1,1288561,Gold Line To Sacramento Valley Station,0,21.0,53871
507,1,1288562,Gold Line To Sacramento Valley Station,0,24.0,53871
507,1,1288563,Gold Line To Sacramento Valley Station,0,23.0,53872
507,1,1288564,Gold Line To Sacramento Valley Station,0,26.0,53871
507,1,1288565,Gold Line To Sacramento Valley Station,0,25.0,53871
507,1,1288566,Gold Line To Sacramento Valley Station,0,27.0,53871
507,1,1288567,Gold Line To Sacramento Valley Station,0,28.0,53872
507,1,1288568,Gold Line To Sacramento Valley Station,0,29.0,53871
507,1,1288569,Gold Line To Sacramento Valley Station,0,22.0,53871
507,1,1288570,Gold Line To Sacramento Valley Station,0,21.0,53871
507,1,1288571,Gold Line To Sacramento Valley Station,0,24.0,53872
507,1,1288572,Gold Line To Sacramento Valley Station,0,23.0,53871
507,1,1288573,Gold Line To Sacramento Valley Station,0,26.0,53871
507,1,1288574,Gold Line To Sacramento Valley Station,0,25.0,53871
507,1,1288575,Gold Line To Sacramento Valley Station,0,27.0,53872
507,1,1288576,Gold Line To Sacramento Valley Station,0,28.0,53871
507,1,1288577,Gold Line To Sacramento Valley Station,0,29.0,53871
507,1,1288578,Gold Line To Sacramento Valley Station,0,22.0,53871
507,1,1288579,Gold Line To Sacramento Valley Station,0,21.0,53872
507,1,1288580,Gold Line To Sacramento Valley Station,0,24.0,53871
507,1,1288581,Gold Line To Sacramento Valley Station,0,23.0,53871
507,1,1288582,Gold Line To Sacramento Valley Station,0,26.0,53871
507,1,1288583,Gold Line To Sacramento Valley Station,0,25.0,53872
507,1,1288584,Gold Line To Sacramento Valley Station,0,27.0,53871
507,1,1288585,Gold Line To Sacramento Valley Station,0,28.0,53871
507,1,1288586,Gold Line To Sacramento Valley Station,0,29.0,53871
507,1,1288587,Gold Line To Sacramento Valley Station,0,22.0,53872
507,1,1288588,Gold Line To Sacramento Valley Station,0,21.0,53871
507,1,1288589,Gold Line To Sacramento Valley Station,0,24.0,53871
507,1,1288590,Gold Line To Sacramento Valley Station,0,23.0,53871
507,1,1288591,Gold Line To Sacramento Valley Station,0,26.0,53872
507,1,1288592,Gold Line To Sacramento Valley Station,0,25.0,53871
507,1,1288593,Gold Line To Sacramento Valley Station,0,27.0,53871
507,1,1288594,Gold Line To Sacramento Valley Station,0,28.0,53871
507,1,1288595,Gold Line To Sacramento Valley Station,0,29.0,53872
507,1,1288596,Gold Line To Sacramento Valley Station,0,22.0,53871
507,1,1288597,Gold Line To Sacramento Valley Station,0,21.0,53871
507,1,1288598,Gold Line To Sacramento Valley Station,0,24.0,53871
507,1,1288599,Gold Line To Sacramento Valley Station,0,23.0,53872
507,1,1288600,Gold Line To Sacramento Valley Station,0,26.0,53871
507,1,1288601,Gold Line To Sacramento Valley Station,0,25.0,53871
507,1,1288602,Gold Line To Sacramento Valley Station,0,27.0,53871
507,1,1288603,Gold Line To Sacramento Valley Station,0,28.0,53872
507,1,1288604,Gold Line To Sacramento Valley Station,0,29.0,53871
507,1,1288605,Gold Line To Downtown Sacramento - 8th & K Only,0,22.0,53873
507,1,1288606,Gold Line To Downtown Sacramento - 8th & K Only,0,24.0,53874
