date,prcp,tmax,tmin
2026-07-11,0.0,94.0,56.0
2026-07-12,0.0,94.0,67.0
2026-07-13,0.0,91.0,68.0
2026-07-14,0.0,104.0,68.0
2026-07-15,0.0,104.0,67.0
2026-07-16,0.0,93.0,61.0
2026-07-17,0.0,92.0,58.0
2026-07-18,0.0,92.0,57.0
2026-07-19,0.0,96.0,57.0
2026-07-20,0.0,94.0,66.0
2026-07-21,0.0,101.0,68.0
2026-07-22,0.0,87.0,62.0
2026-07-23,0.0,93.0,59.0
2026-07-24,0.0,94.0,60.0
2026-07-25,0.0,96.0,60.0
2026-07-26,0.0,93.0,60.0
2026-07-27,0.0,93.0,59.0
2026-07-28,0.0,96.0,59.0
2026-07-29,0.0,96.0,63.0
2026-07-30,0.0,95.0,62.0
2026-07-31,0.0,99.0,59.0
2026-08-01,0.0,102.0,61.0
2026-08-02,0.0,103.0,63.0
2026-08-03,0.0,105.0,63.0
2026-08-04,0.0,99.0,63.0
2026-08-05,0.0,96.0,59.0
2026-08-06,0.0,97.0,60.0
2026-08-07,0.0,97.0,60.0
2026-08-08,0.0,96.0,59.0
2026-08-09,0.0,101.0,62.0
2026-08-10,0.0,91.0,61.0
2026-08-11,0.0,91.0,61.0
2026-08-12,0.0,89.0,59.0
2026-08-13,0.0,79.0,59.0
2026-08-14,0.0,79.0,60.0
2026-08-15,0.0,86.0,59.0
2026-08-16,0.0,93.0,57.0
2026-08-17,0.0,91.0,62.0
2026-08-18,0.0,95.0,57.0
2026-08-19,0.0,96.0,60.0
2026-08-20,0.0,91.0,58.0
2026-08-21,0.0,92.0,59.0
2026-08-22,0.0,94.0,60.0
2026-08-23,0.0,98.0,59.0
2026-08-24,0.0,94.0,63.0
2026-08-25,0.0,95.0,60.0
2026-08-26,0.0,97.0,61.0
2026-08-27,0.0,94.0,62.0
2026-08-28,0.0,83.0,64.0
2026-08-29,0.0,88.0,58.0
2026-08-30,0.0,89.0,57.0
2026-08-31,0.0,75.0,57.0
2026-09-01,0.0,77.0,58.0
2026-09-02,0.0,78.0,59.0
2026-09-03,0.0,76.0,58.0
2026-09-04,0.0,78.0,58.0
2026-09-05,0.0,83.0,52.0
2026-09-06,0.0,84.0,57.0
